permit number,description,building type,completed date
6768631-CN,"Construct townhouse building per plan (Establish use as townhouse and single family residence, and construct one townhouse building and one single family residence.  Review and process for (2) A/P's under 6768631).",Multifamily,2022-04-08T00:00:00.000
6710404-CN,"Establish use as and construct new single family residence, per plan.  Portions of existing foundation to remain.",Single Family/Duplex,2022-04-08T00:00:00.000
6709106-CN,"Construct west duplex, per plan. [Construct new duplex and Construct alterations to east duplex, per plan. Processing and review for 2 construction records under 6709106-CN.]",Single Family/Duplex,2022-04-06T00:00:00.000
6812203-CN,"Construct shed/workshop accessory to single family residence, subject to field inspection.",Single Family/Duplex,2022-04-05T00:00:00.000
6750539-CN,"Establish use as rowhouses and Construct townhouses, per plan.",Multifamily,2022-04-05T00:00:00.000
6725009-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2022-04-04T00:00:00.000
6819509-CN,"Construct a single-family residence and an attached accessory dwelling unit and establish the existing house as a detached accessory dwelling unit, per plans",Single Family/Duplex,2022-04-01T00:00:00.000
6766061-CN,"Construct west duplex, per plan [Establish use as townhouse and Construct (2) duplexes, Review and processing for (2) construction records under 6765240-CN.]",Single Family/Duplex,2022-04-01T00:00:00.000
6765242-CN,"Construct west duplex #1, per plan. (Establish use as and construct 2 duplexes with surface parking. Review and process for 2 record numbers under 6765242-CN)",Single Family/Duplex,2022-04-01T00:00:00.000
6819539-CN,"Establish use as and construct a single-family residence, per plan",Single Family/Duplex,2022-03-31T00:00:00.000
6757586-CN,"Establish use as and construct single-family residence, per plan.",Single Family/Duplex,2022-03-31T00:00:00.000
6750725-CN,"Construct new single-family residence [unit 2]. [Construct (2) single-family residences, per plan. Review and processing for (2) Construction Records under 6736382-CN]",Single Family/Duplex,2022-03-31T00:00:00.000
6736382-CN,"Construct new single-family residence [unit 1]. [Construct (2) single-family residences, per plan. Review and processing for (2) Construction Records under 6736382-CN.]",Single Family/Duplex,2022-03-31T00:00:00.000
6750501-CN,"Establish use as and construct single family residence with attached accessory dwelling unit (AADU), per plan.",Single Family/Duplex,2022-03-30T00:00:00.000
6802992-CN,"Establish use and Construct townhouses, per plan.",Single Family/Duplex,2022-03-29T00:00:00.000
6773654-CN,"Establish use as and construct single family residence & detached garage, per plan.",Single Family/Duplex,2022-03-29T00:00:00.000
6768703-CN,"Establish use and construct duplex, per plan.",Single Family/Duplex,2022-03-29T00:00:00.000
6771505-CN,"Establish use as townhouse and construct new duplex; existing single family residence to remain with new exterior steps down from existing deck, per plan.",Multifamily,2022-03-29T00:00:00.000
